Hot_end_temperature,Machine_state,Date,Current_layer,Total_Layers,Printed_Object,User,Time_left,Plastic_material,timetime,timeperf_counter,Part
275,Printing,2021-05-10 11:01:13,38,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,113.0,Onyx,0.13405680656433105,0.13356569999996282,3
275,Printing,2021-05-10 11:01:14,38,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,113.0,Onyx,0.1934807300567627,0.19325730000036856,3
275,Printing,2021-05-10 11:01:16,38,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,113.0,Onyx,0.13381075859069824,0.13328729999921052,3
275,Printing,2021-05-10 11:01:17,38,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,113.0,Onyx,0.13850927352905273,0.13859729999967385,3
275,Printing,2021-05-10 11:01:18,38,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,113.0,Onyx,0.16661429405212402,0.16747459999987768,3
275,Printing,2021-05-10 11:01:19,38,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,113.0,Onyx,0.16014862060546875,0.1603811000004498,3
274,Printing,2021-05-10 11:01:20,38,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,113.0,Onyx,0.14283323287963867,0.14278059999924153,3
274,Printing,2021-05-10 11:01:21,38,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,113.0,Onyx,0.1517198085784912,0.1512190000003102,3
274,Printing,2021-05-10 11:01:23,38,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,113.0,Onyx,0.12977194786071777,0.12956370000028983,3
274,Printing,2021-05-10 11:01:24,38,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,113.0,Onyx,0.1337876319885254,0.133978500000012,3
274,Printing,2021-05-10 11:01:25,38,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,113.0,Onyx,0.15273666381835938,0.15254470000036235,3
273,Printing,2021-05-10 11:01:26,38,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,113.0,Onyx,0.140364408493042,0.1406167999994068,3
273,Printing,2021-05-10 11:01:27,38,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,113.0,Onyx,0.1338660717010498,0.13376030000017636,3
273,Printing,2021-05-10 11:01:29,38,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,113.0,Onyx,0.1406114101409912,0.1408902000002854,3
273,Printing,2021-05-10 11:01:30,38,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,113.0,Onyx,0.1290898323059082,0.12940490000073623,3
274,Printing,2021-05-10 11:01:31,38,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,113.0,Onyx,0.1473982334136963,0.14774869999928342,3
274,Printing,2021-05-10 11:01:32,38,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,113.0,Onyx,0.16755247116088867,0.16706510000039998,3
274,Printing,2021-05-10 11:01:33,38,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,113.0,Onyx,0.20744752883911133,0.20689949999996315,3
274,Printing,2021-05-10 11:01:34,38,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,113.0,Onyx,0.15555930137634277,0.15540130000044883,3
275,Printing,2021-05-10 11:01:36,38,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,113.0,Onyx,0.1842498779296875,0.18426630000067235,3
275,Printing,2021-05-10 11:01:37,38,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,113.0,Onyx,0.1647481918334961,0.16511170000012498,3
275,Printing,2021-05-10 11:01:38,38,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,113.0,Onyx,0.13063740730285645,0.13036800000008952,3
275,Printing,2021-05-10 11:01:39,38,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,113.0,Onyx,0.1450338363647461,0.14515399999982037,3
275,Printing,2021-05-10 11:01:40,38,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,113.0,Onyx,0.15388250350952148,0.15353739999954996,3
275,Printing,2021-05-10 11:01:42,38,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,113.0,Onyx,0.12805604934692383,0.12778399999933754,3
275,Printing,2021-05-10 11:01:43,38,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,113.0,Onyx,0.1369166374206543,0.13692830000036338,3
275,Printing,2021-05-10 11:01:44,38,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,113.0,Onyx,0.15856671333312988,0.15853429999970103,3
275,Printing,2021-05-10 11:01:45,38,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,113.0,Onyx,0.15227174758911133,0.15197690000059083,3
275,Printing,2021-05-10 11:01:46,38,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,113.0,Onyx,0.2036571502685547,0.20330139999987296,3
275,Printing,2021-05-10 11:01:48,38,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,113.0,Onyx,0.12774944305419922,0.12792329999956564,3
275,Printing,2021-05-10 11:01:49,38,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,113.0,Onyx,0.13127565383911133,0.13100440000016533,3
275,Printing,2021-05-10 11:01:50,38,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,113.0,Onyx,0.21952223777770996,0.21929249999993772,3
275,Printing,2021-05-10 11:01:51,38,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,113.0,Onyx,0.17247724533081055,0.17216460000054212,3
275,Printing,2021-05-10 11:01:52,38,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,113.0,Onyx,0.2354569435119629,0.23517730000003212,3
275,Printing,2021-05-10 11:01:54,38,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,113.0,Onyx,0.1841447353363037,0.18474629999946046,3
275,Printing,2021-05-10 11:01:55,38,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,113.0,Onyx,0.12966394424438477,0.12935410000045522,3
